set,gene,bin,n,mean,grad_med
Shared_regulator,Apoc3,6,6714,1.6130220890045166,-0.321706415
Shared_regulator,Apoc3,7,6715,1.6021828651428223,-0.26667184
Shared_regulator,Apoc3,8,6714,1.5666944980621338,-0.19803764000000001
Shared_regulator,Apoc3,9,6715,1.5007903575897217,-0.07462287
Shared_regulator,Apoe,0,6715,1.848710060119629,-0.72652
Shared_regulator,Apoe,1,6714,2.1038808822631836,-0.60540613
Shared_regulator,Apoe,2,6715,2.1816842555999756,-0.51951975
Shared_regulator,Apoe,3,6714,2.2195284366607666,-0.46198216000000003
Shared_regulator,Apoe,4,6714,2.247054100036621,-0.41825007000000003
Shared_regulator,Apoe,5,6715,2.2648515701293945,-0.3713085
Shared_regulator,Apoe,6,6714,2.287839412689209,-0.321706415
Shared_regulator,Apoe,7,6715,2.3048086166381836,-0.26667184
Shared_regulator,Apoe,8,6714,2.297852039337158,-0.19803764000000001
Shared_regulator,Apoe,9,6715,2.2389743328094482,-0.07462287
