panel,gene,group,l2fc,padj,baseMean,color,is_tf
PPARA,Ppara,PPARα (TF),-2.4473091627408956,8.751292140679113e-14,644.1481213972812,#2D3436,True
PPARA,Cpt1a,PPARα targets (FAO),-0.6768368157109448,0.0028339551882723,4717.95197670881,#6C7A89,False
PPARA,Cpt2,PPARα targets (FAO),-0.4953393496445773,0.0723258341556579,1043.7513507108715,#6C7A89,False
PPARA,Acadm,PPARα targets (FAO),-0.6358426595353016,0.0055928047675316,3176.890879247396,#6C7A89,False
PPARA,Acadl,PPARα targets (FAO),-0.252437551453491,0.3613116503315233,1823.2153526428217,#6C7A89,False
PPARA,Acadvl,PPARα targets (FAO),-0.259664702540453,0.2792516619863769,3473.8740428201995,#6C7A89,False
PPARA,Hadha,PPARα targets (FAO),-0.5519727621342301,0.0094063061497006,3376.2762835559406,#6C7A89,False
PPARA,Hadhb,PPARα targets (FAO),-0.5566147371945334,0.0334666027688935,608.2665741461436,#6C7A89,False
PPARA,Crat,PPARα targets (FAO),-2.2818128328868887,2.1890058523806742e-10,226.18794947987044,#6C7A89,False
PPARA,Decr2,PPARα targets (FAO),-0.5758297871220363,0.0161642148095086,1056.5371818819062,#6C7A89,False
PPARA,Acox1,PPARα targets (FAO),0.2713705548160874,0.3119618930476139,40701.90168647492,#6C7A89,False
PPARA,Ehhadh,PPARα targets (FAO),-0.3127777573496331,0.4553759388635488,3237.4505579468823,#6C7A89,False
PPARA,Hsd17b4,PPARα targets (FAO),-0.5027924105103191,0.0047345436006997,6697.151067191376,#6C7A89,False
PPARA,Scp2,PPARα targets (FAO),-0.3831832955663607,0.0858785357226803,22051.877731146145,#6C7A89,False
PPARA,Slc27a1,PPARα targets (FATP),-0.1339836897321196,0.897671474538215,40.11770404300122,#2980B9,False
PPARA,Slc27a2,PPARα targets (FATP),-0.4777374278679407,0.0042566069357075,11477.334515345236,#2980B9,False
PPARA,Slc27a4,PPARα targets (FATP),-1.0079782043391052,0.0070751536857833,152.3451106485822,#2980B9,False
PPARA,Slc27a5,PPARα targets (FATP),0.1640174970199019,0.5898687291784136,5540.203854603739,#2980B9,False
PPARA,Fabp1,PPARα targets (FATP),-0.3086355306182615,0.4169782796052332,21005.873100983452,#2980B9,False
PPARA,Cd36,inflammatory (uncoupled),0.7649668144254885,0.0567081657207243,294.3560626833441,#D68910,False
PPARA,Lpl,inflammatory (uncoupled),0.5772225515671178,0.3322952098340949,211.8856085164743,#D68910,False
FXRLXR,Nr1h4,Nuclear receptors,-1.6775983710637323,2.0029236330374634e-12,1002.517685232506,#2D3436,True
FXRLXR,Nr1h3,Nuclear receptors,-0.8941903464175397,0.0001114115802497,506.48404662859434,#2D3436,True
FXRLXR,Rxra,Nuclear receptors,-0.8747840563190539,2.6391204376651855e-05,2753.1065870022458,#2D3436,True
FXRLXR,Cyp7a1,FXR targets (biliary),-7.757307729488674,3.256373612798757e-08,2162.003894848198,#8E44AD,False
FXRLXR,Cyp8b1,FXR targets (biliary),-2.28879073566631,1.6907596969152649e-13,4081.9992364296913,#8E44AD,False
FXRLXR,Cyp27a1,FXR targets (biliary),-0.1450004443314681,0.6761008799519865,3464.5472833889635,#8E44AD,False
FXRLXR,Nr0b2,FXR targets (biliary),-5.244220324981991,0.0012994250040842,17.55471218715732,#8E44AD,False
FXRLXR,Abcb11,FXR targets (biliary),-0.3869130292033413,0.0713016083371583,4905.722571751887,#8E44AD,False
FXRLXR,Abcc2,FXR targets (biliary),-1.379024957842781,6.706879755854693e-11,3167.0035155478763,#8E44AD,False
