gene,mean_B,mean_other,det_B,det_other,log2FC,det_diff
Gm26206,0.0,0.0,0.0,0.0,0.0,0.0
Xkr4,1.2188,0.0114,0.5777,0.0068,6.739,0.5709
Gm53491,0.286,0.0039,0.1501,0.0023,6.2107,0.1478
Rp1,0.002,0.0012,0.0011,0.0008,0.7723,0.0003
Sox17,0.0043,0.0394,0.0021,0.0254,-3.2118,-0.0233
Gm22307,0.0,1e-04,0.0,0.0001,-7.003,-0.0001
Gm37323,0.0003,0.0003,0.0002,0.0002,0.3111,0.0
Gm39586,0.0,0.0,0.0,0.0,-4.883,-0.0
Gm46082,0.0,0.0,0.0,0.0,0.0,0.0
Gm29874,0.0,0.0,0.0,0.0,-5.3313,-0.0
Mrpl15,0.1647,0.2227,0.0905,0.1657,-0.4357,-0.0752
Lypla1,0.1215,0.5483,0.0667,0.3775,-2.1743,-0.3108
LOC118567656,0.0012,0.018,0.0006,0.0171,-3.9151,-0.0165
Tcea1,0.4458,0.4719,0.2358,0.3422,-0.0822,-0.1064
Rgs20,0.2369,0.0193,0.1232,0.0162,3.6189,0.1071
Gm16041,0.0007,0.0,0.0004,0.0,6.3288,0.0004
Atp6v1h,0.4592,0.4618,0.2429,0.3316,-0.0081,-0.0887
Oprk1,0.039,0.0002,0.0199,0.0001,7.3764,0.0197
Npbwr1,0.0014,0.0,0.0008,0.0,10.4666,0.0008
Gm46206,0.0005,1e-04,0.0003,0.0001,1.8646,0.0002
Rb1cc1,0.6486,0.7136,0.3371,0.4667,-0.1378,-0.1296
Alkal1,0.0015,0.0009,0.0008,0.0006,0.685,0.0001
St18,0.3665,0.0048,0.1677,0.0027,6.247,0.165
Pcmtd1,0.6638,0.999,0.3418,0.5793,-0.5896,-0.2375
Gm23274,0.0,0.0,0.0,0.0,0.0,0.0
Gm26901,0.05,0.0296,0.0284,0.0252,0.7572,0.0032
Gm39589,0.0013,1e-04,0.0008,0.0001,3.4101,0.0007
Sntg1,1.2189,0.1854,0.5828,0.1046,2.7169,0.4782
Gm30719,0.0,0.0,0.0,0.0,-3.8192,-0.0
Gm24765,0.0,0.0,0.0,0.0,0.0,0.0
Rrs1,0.0892,0.1966,0.0486,0.1514,-1.1396,-0.1028
Adhfe1,0.0351,0.5814,0.0183,0.393,-4.0516,-0.3747
2610203C22Rik,0.0172,0.076,0.0099,0.0628,-2.1393,-0.0529
Vxn,0.2673,0.0051,0.1444,0.0042,5.7109,0.1402
Mybl1,0.0164,0.0213,0.009,0.0173,-0.3765,-0.0084
Vcpip1,0.1961,0.4696,0.1082,0.3375,-1.2598,-0.2293
1700034P13Rik,0.002,0.0329,0.0013,0.0288,-4.0704,-0.0275
Gm39590,0.0004,0.0035,0.0002,0.0028,-3.0036,-0.0026
Sgk3,0.2778,0.3324,0.1435,0.2485,-0.2588,-0.105
Gm6195,0.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,0.0424,0.0092,0.0237,0.0075,2.2098,0.0162
Snhg6,0.1152,0.1133,0.063,0.0853,0.0236,-0.0223
Snord87,0.0,0.0,0.0,0.0,-4.0761,-0.0
Tcf24,0.0007,0.0009,0.0004,0.0006,-0.4406,-0.0002
Ppp1r42,0.0073,0.0018,0.0042,0.0015,2.0491,0.0027
Gm24674,0.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.286,0.2436,0.1529,0.187,0.2314,-0.0341
Cspp1,0.5864,0.8736,0.3041,0.5343,-0.575,-0.2302
Arfgef1,0.4427,0.696,0.2331,0.4572,-0.6527,-0.2241
Cpa6,0.0323,0.0029,0.0166,0.0021,3.4585,0.0145
Gm25253,0.0,0.0,0.0,0.0,0.0,0.0
Prex2,0.1431,0.3267,0.0713,0.1925,-1.1906,-0.1212
Gm24173,0.0,0.0,0.0,0.0,0.0,0.0
A830018L16Rik,0.6763,0.0071,0.3392,0.0042,6.5719,0.335
Gm30898,0.0292,0.0002,0.016,0.0001,7.2962,0.0159
Gm30974,0.0,0.0,0.0,0.0001,-5.4934,-0.0001
Gm22633,0.0,0.0,0.0,0.0,0.0,0.0
Gm39591,0.0,0.0,0.0,0.0,-4.0134,-0.0
Mir6341,0.0,0.0,0.0,0.0,0.0,0.0
Gm17644,0.0,0.0,0.0,0.0,-3.2844,-0.0
Sulf1,0.0766,0.0111,0.0399,0.0065,2.7838,0.0334
Slco5a1,0.0262,0.0005,0.0142,0.0003,5.6172,0.0139
Gm39592,0.0,0.0002,0.0,0.0001,-7.4674,-0.0001
Prdm14,0.0,0.0004,0.0,0.0002,-8.5812,-0.0002
Ncoa2,0.5681,1.0723,0.294,0.6071,-0.9166,-0.3132
Gm23169,0.0,0.0,0.0,0.0,0.0,0.0
Gm39595,0.0004,0.0016,0.0002,0.0013,-1.8436,-0.0011
Tram1,0.137,0.6312,0.0734,0.4192,-2.2045,-0.3458
Lactb2,0.1386,1.1155,0.0758,0.639,-3.0091,-0.5632
Xkr9,0.0021,0.3174,0.0018,0.2362,-7.2226,-0.2344
Gm26273,0.0,0.0,0.0,0.0,0.0,0.0
Gm5523,0.0002,0.0,0.0001,0.0,3.1325,0.0001
Gm31195,0.0,1e-04,0.0,0.0001,-6.6909,-0.0001
Gm39596,0.0012,0.0012,0.0006,0.001,-0.0027,-0.0004
Eya1,0.0352,0.0009,0.018,0.0005,5.3059,0.0175
Msc,0.006,0.0052,0.0032,0.0035,0.2071,-0.0003
Gm9947,0.0202,0.0082,0.0111,0.0052,1.3028,0.0059
Trpa1,0.0006,1e-04,0.0003,0.0,3.0002,0.0003
Kcnb2,0.9132,0.0157,0.4454,0.0085,5.8574,0.4369
Gm51616,0.0068,0.0112,0.004,0.0066,-0.7172,-0.0026
Gm51617,0.0116,0.0081,0.0066,0.0048,0.5278,0.0018
Gm25168,0.0,0.0,0.0,0.0,0.0,0.0
Terf1,0.269,0.3602,0.1441,0.2716,-0.4213,-0.1275
Sbspon,0.0093,0.0016,0.0052,0.0012,2.5339,0.004
Gm31523,0.0003,0.0,0.0001,0.0,8.057,0.0001
4930444P10Rik,0.0256,0.0003,0.0138,0.0002,6.4472,0.0136
Rpl7,0.4072,0.3833,0.2141,0.2563,0.0872,-0.0422
Rdh10,0.0579,0.1333,0.0321,0.1071,-1.2039,-0.0751
Stau2,0.5691,0.3568,0.2998,0.2695,0.6736,0.0303
Gm7568,0.0024,0.001,0.0014,0.0009,1.3037,0.0005
C130013N14Rik,0.0147,0.0231,0.0083,0.0218,-0.6523,-0.0135
Ube2w,0.5476,0.5029,0.2878,0.3579,0.1229,-0.0701
Eloc,0.3955,0.2033,0.2107,0.1575,0.9602,0.0532
D030040B21Rik,0.0004,0.0026,0.0002,0.0024,-2.7607,-0.0022
Tmem70,0.1473,0.1449,0.0809,0.1107,0.0243,-0.0298
Ly96,0.0208,0.1118,0.0117,0.0918,-2.4267,-0.0801
Gm53492,0.0017,0.0008,0.001,0.0008,0.9687,0.0001
Jph1,0.2924,0.1958,0.1561,0.1498,0.5786,0.0063
Gm46085,0.0374,0.0007,0.0212,0.0005,5.8189,0.0207
Gm31982,0.017,0.0004,0.0095,0.0003,5.4142,0.0092
Gdap1,0.3157,0.0015,0.1698,0.0008,7.7031,0.169
Gm28784,0.002,0.0,0.0011,0.0,10.9502,0.0011
Gm39597,0.0,0.0,0.0,0.0,0.0,0.0
Pi15,0.0022,0.0036,0.0011,0.0022,-0.7371,-0.0011
Gm28154,0.0139,0.0003,0.0073,0.0002,5.3746,0.0072
Gm16070,0.0389,0.0004,0.0215,0.0003,6.7273,0.0212
Crispld1,0.0935,0.001,0.0519,0.0006,6.5784,0.0513
Crisp4,0.0,0.0,0.0,0.0,-5.3272,-0.0
Defb44-ps,0.0,1e-04,0.0,0.0,-5.878,-0.0
Defb18,0.0,0.0,0.0,0.0,0.0,0.0
Defb41,0.0,0.0,0.0,0.0,-4.5951,-0.0
Gm28343,0.0,0.0,0.0,0.0,0.0,0.0
Gm15825,0.0053,1e-04,0.003,0.0001,5.7991,0.003
Tfap2d,0.03,0.0003,0.0149,0.0003,6.4338,0.0146
Tfap2b,0.0366,0.0004,0.0172,0.0002,6.5513,0.017
Gm32651,0.0006,0.0003,0.0003,0.0002,1.0802,0.0001
Pkhd1,0.0051,0.305,0.0033,0.226,-5.8921,-0.2226
4930486I03Rik,0.0003,0.0079,0.0002,0.0054,-4.7131,-0.0052
Gm24162,0.0,0.0,0.0,0.0,0.0,0.0
Lincmd1,0.0005,1e-04,0.0003,0.0,2.984,0.0003
Mir206,0.0,0.0,0.0,0.0,0.0,0.0
Mir133b,0.0,0.0,0.0,0.0,0.0,0.0
Il17a,0.0,0.0,0.0,0.0,0.0,0.0
Il17f,0.0003,1e-04,0.0001,0.0001,1.4262,0.0
Mcm3,0.0024,0.0126,0.0013,0.009,-2.4082,-0.0077
Gm24723,0.0,0.0,0.0,0.0,0.0,0.0
6720483E21Rik,0.0126,0.0002,0.0069,0.0001,6.1076,0.0068
Paqr8,0.1804,0.0084,0.0927,0.0056,4.4289,0.0871
Gm24171,0.0,0.0,0.0,0.0,0.0,0.0
Gm51618,0.007,0.0007,0.004,0.0005,3.3898,0.0035
Efhc1,0.0101,0.0032,0.0056,0.0027,1.67,0.0029
Tram2,0.0077,0.1389,0.0049,0.1173,-4.1654,-0.1125
Tmem14a,0.238,0.0697,0.13,0.0507,1.7717,0.0793
Gm32947,0.0004,0.0,0.0002,0.0,3.3613,0.0002
Gm28836,0.0443,0.3965,0.0243,0.2473,-3.1613,-0.223
Gsta3,0.0456,1.5982,0.0236,0.7516,-5.1299,-0.7279
Gm7094,0.0,1e-04,0.0,0.0001,-5.9313,-0.0001
Gm4956,0.0007,0.0829,0.0003,0.0523,-6.9718,-0.052
Khdc1a,0.0,0.0002,0.0,0.0002,-7.6018,-0.0002
Khdc1c,0.0,0.0,0.0,0.0,0.0,0.0
Gm33147,0.0004,1e-04,0.0002,0.0001,1.9862,0.0002
Khdc1b,0.0,0.0,0.0,0.0,-5.507,-0.0
Kcnq5,1.1218,0.0403,0.5153,0.0231,4.7976,0.4922
Gm53539,0.1113,0.0019,0.0619,0.0012,5.8351,0.0608
Rims1,1.5404,0.0093,0.7013,0.0048,7.3679,0.6965
Gm7759,0.0,0.0,0.0,0.0,-3.2308,-0.0
Ppp1r14bl,0.0,0.0,0.0,0.0,0.0,0.0
Gm30442,0.0,0.0,0.0,0.0,0.0,0.0
Gm29506,0.0,1e-04,0.0,0.0001,-6.9738,-0.0001
Gm53541,0.1916,1.0193,0.1039,0.5861,-2.4116,-0.4821
Mir30a,0.0,0.0,0.0,0.0,0.0,0.0
Mir30c-2,0.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,0.5602,0.0911,0.2904,0.0687,2.6199,0.2218
Gm19673,0.0009,1e-04,0.0004,0.0001,3.5434,0.0004
Gm28822,0.0058,1e-04,0.0031,0.0001,5.4837,0.003
B3gat2,0.0665,0.0123,0.0355,0.0116,2.4311,0.0239
Smap1,0.5262,0.4699,0.2771,0.3432,0.1632,-0.0661
Gm53062,0.0032,0.0008,0.0017,0.0007,1.992,0.001
Sdhaf4,0.1431,0.081,0.0793,0.0609,0.8218,0.0184
Fam135a,0.3387,0.8142,0.1799,0.5098,-1.2652,-0.3299
Col9a1,0.0095,0.0002,0.005,0.0002,5.3266,0.0048
Col19a1,0.2616,0.0015,0.138,0.001,7.4557,0.137
Gm26418,0.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.7109,0.4677,0.3652,0.3362,0.6041,0.029
Gm29414,0.0,0.0,0.0,0.0,0.0,0.0
Adgrb3,2.0334,0.0117,0.8628,0.006,7.4353,0.8568
Gm20172,0.038,1e-04,0.0208,0.0,8.7033,0.0208
Gm22260,0.0,0.0,0.0,0.0,0.0,0.0
Gm25294,0.0,0.0,0.0,0.0,0.0,0.0
Gm9884,0.0102,0.0,0.0056,0.0,13.3094,0.0056
Gm39614,0.0002,0.0,0.0001,0.0,3.4014,0.0001
Gm31076,0.0002,0.0003,0.0001,0.0002,-0.3015,-0.0001
Gm31136,0.0007,0.0006,0.0004,0.0004,0.2061,-0.0
4931408C20Rik,0.0,0.0,0.0,0.0,-3.1796,-0.0
Gm5524,0.0005,0.1338,0.0004,0.1107,-8.1706,-0.1102
Gm597,0.0007,0.0,0.0003,0.0,9.435,0.0003
Gm45942,0.0052,0.0006,0.0026,0.0004,3.2169,0.0022
Gm6462,0.0,0.0,0.0,0.0,0.0,0.0
Mir6342,0.0,0.0,0.0,0.0,0.0,0.0
Gm31465,0.004,1e-04,0.0022,0.0,6.1956,0.0021
Gm31525,0.0091,1e-04,0.0057,0.0001,6.1154,0.0056
Gm39615,0.0256,0.0015,0.0155,0.0011,4.1195,0.0145
Gm31581,0.0009,0.0,0.0005,0.0,4.9677,0.0005
Gm46086,0.0002,0.0,0.0001,0.0,4.2688,0.0001
LOC115487655,0.0,0.0,0.0,0.0,0.0,0.0
Phf3,0.623,0.6785,0.3216,0.4486,-0.1232,-0.127
Ptp4a1,0.1354,0.4631,0.074,0.3308,-1.7738,-0.2568
Gm53209,0.001,0.0111,0.0005,0.0084,-3.4277,-0.0079
Gm29669,0.0008,0.1149,0.0008,0.0934,-7.1862,-0.0927
Gm28644,1e-04,0.0241,0.0001,0.0202,-8.1754,-0.0201
4931428L18Rik,0.0004,0.0003,0.0002,0.0003,0.2674,-0.0
Lgsn,0.0003,0.0002,0.0001,0.0001,0.4707,-0.0
Dnaaf6,0.0,0.0,0.0,0.0,0.0,0.0
Gm26145,0.0,0.0,0.0,0.0,0.0,0.0
Gm4850,0.0,0.0,0.0,0.0,0.0,0.0
LOC115487662,0.0,0.0,0.0,0.0,0.0,0.0
Gm23032,0.0,0.0,0.0,0.0,0.0,0.0
Gm51754,0.0,0.0,0.0,0.0,0.0,0.0
Khdrbs2,0.7375,0.0046,0.3666,0.003,7.3162,0.3636
Gm25814,0.0,0.0,0.0,0.0,0.0,0.0
Gm9839,0.0014,0.0,0.0006,0.0,10.4658,0.0006
Semp2l1,0.002,0.0,0.0011,0.0,10.9368,0.0011
Gm24732,0.0,0.0,0.0,0.0,0.0,0.0
Gm39616,0.0106,1e-04,0.0056,0.0001,6.303,0.0055
Gm24901,0.0,0.0,0.0,0.0,0.0,0.0
Gm39617,0.0029,0.0003,0.0015,0.0002,3.1298,0.0013
Gm25792,0.0,0.0,0.0,0.0,0.0,0.0
Gm23453,0.0,0.0,0.0,0.0,-5.019,-0.0
Prim2,0.0839,0.1192,0.046,0.0985,-0.507,-0.0526
1700001G17Rik,0.0025,0.0025,0.0014,0.002,0.0143,-0.0006
Gm32229,0.0108,0.0008,0.006,0.0006,3.7647,0.0055
Rab23,0.1093,0.1076,0.0589,0.0844,0.0227,-0.0255
Bag2,0.0527,0.0155,0.0294,0.0113,1.7653,0.018
Zfp451,0.2744,0.2771,0.1482,0.2168,-0.0142,-0.0686
Gm15455,0.0014,0.0002,0.0008,0.0002,2.5446,0.0006
Bend6,0.5032,0.0059,0.2603,0.0039,6.413,0.2564
Gm38471,0.0005,0.0,0.0003,0.0,4.9069,0.0003
Dst,1.0875,0.5939,0.5309,0.4014,0.8727,0.1295
Gm53546,0.002,0.0003,0.0012,0.0002,2.7981,0.001
Mir6896,0.0,0.0,0.0,0.0,0.0,0.0
Gm51742,0.0164,0.0014,0.0086,0.0012,3.5616,0.0075
Gm26788,0.0045,0.0011,0.0025,0.0008,2.0593,0.0017
Gm3052,0.0057,0.0022,0.0031,0.0015,1.393,0.0016
Gm37233,0.0074,0.0032,0.0043,0.0024,1.2228,0.0019
Mir5103,0.0,0.0,0.0,0.0,0.0,0.0
n-TEttc1,0.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,0.0861,0.0772,0.0474,0.061,0.1565,-0.0137
Imp4,0.0338,0.057,0.0178,0.0457,-0.7536,-0.0279
Gm32504,0.0008,0.0002,0.0004,0.0002,1.7502,0.0003
Ptpn18,0.0068,0.0168,0.0035,0.0108,-1.3036,-0.0074
Gm28417,0.0006,0.0016,0.0003,0.001,-1.517,-0.0007
4930568A12Rik,0.0021,0.0004,0.0011,0.0003,2.4299,0.0008
Gm32566,0.0002,0.0,0.0001,0.0,3.04,0.0001
Prss39,0.0,0.0,0.0,0.0,0.0,0.0
Cfc1,0.0002,0.0,0.0001,0.0,2.8031,0.0001
Prss40,0.0,1e-04,0.0,0.0001,-6.8723,-0.0001
Amer3,0.0443,0.0004,0.0243,0.0002,6.8155,0.0241
AA619741,0.0,0.0,0.0,0.0,0.0,0.0
Gm38647,0.0004,1e-04,0.0002,0.0,2.7406,0.0002
Arhgef4,0.03,0.0053,0.0155,0.0029,2.5045,0.0126
Gm32920,0.0006,0.0,0.0003,0.0,4.2066,0.0003
Gm32790,0.0122,0.002,0.0065,0.0014,2.5883,0.0051
Smim39,0.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.4845,0.3027,0.2555,0.2317,0.6788,0.0238
Plekhb2,0.2621,0.0484,0.1418,0.035,2.438,0.1068
Gm53547,0.0004,1e-04,0.0002,0.0,2.7423,0.0002
Gm25096,0.0,0.0,0.0,0.0,0.0,0.0
Gm25634,0.0,0.0,0.0,0.0,0.0,0.0
1110002O04Rik,0.0099,0.0003,0.0056,0.0002,5.0894,0.0054
Gm33176,0.0,0.0005,0.0,0.0004,-8.876,-0.0004
Gm39622,0.0002,0.0003,0.0001,0.0002,-0.2279,-0.0001
Gm33222,0.0,1e-04,0.0,0.0001,-6.7416,-0.0001
Gm39623,0.0,0.0,0.0,0.0,-3.4661,-0.0
Gm39624,0.0002,0.0012,0.0001,0.001,-2.5198,-0.0009
Hs6st1,0.1382,0.4,0.0775,0.2696,-1.5327,-0.1921
Gm53548,0.0148,0.0641,0.0084,0.0519,-2.1151,-0.0435
Gm33280,0.0002,0.0008,0.0001,0.0005,-1.8682,-0.0004
Uggt1,0.1749,0.5914,0.0965,0.4022,-1.7575,-0.3057
Mir6897,0.0,0.0,0.0,0.0,0.0,0.0
Gm39625,0.0019,0.0053,0.0012,0.0036,-1.5064,-0.0024
Neurl3,0.0052,0.042,0.0027,0.027,-3.0126,-0.0243
Arid5a,0.0151,0.0205,0.0083,0.0181,-0.4427,-0.0098
Kansl3,0.2447,0.4169,0.1309,0.3022,-0.7684,-0.1713
Mir6898,0.0,0.0,0.0,0.0,0.0,0.0
Fer1l5,0.0002,0.001,0.0001,0.0007,-2.343,-0.0006
Lman2l,0.1464,0.1563,0.0799,0.1314,-0.094,-0.0515
Gm33401,0.0,0.0,0.0,0.0,-4.9533,-0.0
Gm33454,0.0012,0.0009,0.0006,0.0006,0.3397,0.0
Cnnm4,0.0375,0.0371,0.0203,0.0272,0.0128,-0.0069
Cnnm3,0.119,0.1003,0.0628,0.077,0.2472,-0.0141
Ankrd23,0.0285,0.0742,0.0152,0.0602,-1.3781,-0.045
Ankrd39,0.0427,0.0302,0.023,0.0257,0.4999,-0.0027
Sema4c,0.0346,0.0562,0.0181,0.0382,-0.7003,-0.0201
Fam178b,0.0009,0.0017,0.0005,0.0011,-0.8798,-0.0006
Cox5b,0.9408,0.4111,0.4678,0.274,1.1944,0.1938
Actr1b,0.4704,0.214,0.2502,0.1642,1.1364,0.0859
4933424G06Rik,0.0205,0.0012,0.0112,0.0009,4.1343,0.0103
Gm33533,0.0542,0.0003,0.03,0.0002,7.4188,0.0298
Zap70,0.006,0.0506,0.0035,0.0339,-3.0705,-0.0304
Tmem131,0.3647,0.5816,0.1938,0.3997,-0.6733,-0.2059
Vwa3b,0.0085,0.0844,0.005,0.0777,-3.3113,-0.0727
Gm37020,0.0057,0.0052,0.003,0.0051,0.134,-0.0021
Cnga3,0.0005,0.0009,0.0002,0.0005,-0.8324,-0.0003
Inpp4a,0.3971,0.5813,0.2113,0.3992,-0.5498,-0.1879
4930439A04Rik,0.026,0.0252,0.014,0.0237,0.0416,-0.0096
Coa5,0.0681,0.0976,0.038,0.0751,-0.5195,-0.0371
Unc50,0.3234,0.1937,0.1717,0.1361,0.7395,0.0356
Mgat4a,0.1961,0.0218,0.1059,0.0147,3.1692,0.0912
4930594C11Rik,0.0049,0.001,0.0028,0.0007,2.2572,0.0021
Gm39627,0.0002,0.0,0.0001,0.0,2.4203,0.0001
Cracdl,0.3904,0.007,0.2087,0.0034,5.8097,0.2053
4930556I23Rik,0.0008,0.0,0.0004,0.0,9.6074,0.0004
4930470B04Rik,0.0318,0.0005,0.0181,0.0002,6.0388,0.0179
Gm39628,0.0754,0.0016,0.0417,0.0008,5.5826,0.0409
Tsga10,0.1261,0.0444,0.0683,0.0356,1.5073,0.0327
Lipt1,0.0176,0.0377,0.0096,0.0302,-1.0997,-0.0206
Mitd1,0.0959,0.3289,0.0524,0.2433,-1.7775,-0.1908
Mrpl30,0.1994,0.1525,0.1087,0.1077,0.3864,0.0009
Lyg2,0.0,0.0,0.0,0.0,-5.6015,-0.0
Lyg1,0.0,1e-04,0.0,0.0001,-6.8664,-0.0001
Txndc9,0.2269,0.1706,0.1228,0.1368,0.4116,-0.014
Eif5b,0.5673,0.501,0.2975,0.3564,0.1793,-0.0589
Gm34448,0.0128,0.0118,0.0069,0.0108,0.1251,-0.0039
Rev1,0.4003,0.5618,0.2111,0.3838,-0.4888,-0.1727
Gm5099,0.0004,0.0003,0.0002,0.0002,0.4178,-0.0
Aff3,0.5342,0.0291,0.277,0.0184,4.199,0.2586
Gm16150,0.0138,0.0003,0.0076,0.0002,5.4628,0.0073
Gm16152,0.0243,0.0008,0.0134,0.0005,4.9359,0.0129
Gm34596,0.0019,0.0002,0.001,0.0001,2.98,0.0008
LOC115487659,0.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,0.2726,0.001,0.1471,0.0005,8.0311,0.1466
Chst10,0.1455,0.001,0.0791,0.0006,7.1937,0.0785
Nms,0.0,0.0,0.0,0.0,-4.9118,-0.0
Gm35171,0.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.1519,0.0808,0.0825,0.0589,0.9109,0.0235
Gm35222,0.0002,0.0,0.0001,0.0,7.3642,0.0001
Mir6349,0.0,0.0,0.0,0.0,0.0,0.0
Npas2,0.3343,0.0481,0.1786,0.039,2.7981,0.1396
Gm53549,0.0035,0.0019,0.0018,0.0018,0.8483,-0.0
Rpl31,0.3648,0.2125,0.1954,0.1458,0.7792,0.0496
Tbc1d8,0.1552,0.5035,0.0808,0.3496,-1.6976,-0.2687
Gm24826,0.0,1e-04,0.0,0.0,-5.8022,-0.0
Gm53550,0.0302,0.0122,0.016,0.0116,1.3129,0.0043
Cnot11,0.0792,0.0673,0.0435,0.0522,0.2365,-0.0087
Snord89,0.0,0.0004,0.0,0.0003,-8.6675,-0.0003
Rnf149,0.2073,0.4881,0.1133,0.3462,-1.2355,-0.2328
Gm23722,0.0,0.0,0.0,0.0,0.0,0.0
Gm51620,0.0026,0.1234,0.0015,0.1137,-5.5745,-0.1122
Creg2,0.2623,0.0018,0.1435,0.0009,7.1584,0.1426
D930019O06Rik,0.0057,0.0,0.0035,0.0,7.6167,0.0034
Rfx8,0.0015,0.0011,0.0008,0.0008,0.4545,-0.0
Gm3646,0.0,0.0,0.0,0.0,0.0,0.0
1700066B17Rik,0.0002,1e-04,0.0001,0.0001,1.255,0.0001
Gm35600,0.0002,0.0,0.0001,0.0,3.7101,0.0001
Map4k4,0.4509,0.2484,0.2299,0.173,0.8599,0.0568
Gm16894,0.0904,0.001,0.0488,0.0006,6.5268,0.0482
Il1r2,0.0031,0.0061,0.0017,0.0048,-0.9953,-0.0031
Gm35741,0.0,0.0007,0.0,0.0006,-9.4933,-0.0006
Il1r1,0.0328,1.4275,0.0175,0.6707,-5.4457,-0.6532
Il1rl2,0.0019,0.0213,0.001,0.0184,-3.4673,-0.0175
Il1rl1,0.0009,0.0003,0.0004,0.0002,1.795,0.0003
Il18r1,0.0004,0.0045,0.0002,0.0027,-3.479,-0.0025
Il18rap,0.001,0.0069,0.0005,0.0045,-2.7764,-0.004
Gm35801,0.0003,0.0,0.0001,0.0,3.9388,0.0001
Slc9a4,0.0039,0.0003,0.0022,0.0002,3.5802,0.002
Gm37435,0.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,0.0131,0.0005,0.0073,0.0003,4.6994,0.007
Gm37915,0.0017,0.0005,0.0009,0.0004,1.8925,0.0004
Mfsd9,0.0102,0.0078,0.0057,0.0064,0.386,-0.0007
Tmem182,0.0005,0.0002,0.0002,0.0001,1.8014,0.0001
4930448I06Rik,0.0,1e-04,0.0,0.0001,-6.7183,-0.0001
Gm53551,0.0,0.0,0.0,0.0,0.0,0.0
Gm39631,0.0,0.0002,0.0,0.0002,-7.9265,-0.0002
Gm35935,0.0,0.0,0.0,0.0,-3.2008,-0.0
Gm29260,0.0031,0.0008,0.0017,0.0006,2.0146,0.0012
Gm28175,0.0782,0.0002,0.043,0.0001,8.6078,0.0428
Gm46088,0.0009,1e-04,0.0005,0.0001,2.6886,0.0004
Gm36678,0.0045,0.0002,0.0027,0.0001,4.2269,0.0026
Gm37047,0.0002,0.0,0.0001,0.0,7.511,0.0001
Gm46089,0.0007,0.0,0.0004,0.0,9.4419,0.0004
Gm36822,0.0,0.0,0.0,0.0,-3.4954,-0.0
Pantr1,0.1672,0.0006,0.0914,0.0004,8.0051,0.0911
Gm20646,0.0992,0.0005,0.0535,0.0003,7.6804,0.0533
Pou3f3,0.1123,0.0005,0.0604,0.0003,7.8105,0.0602
2900092D14Rik,0.0413,1e-04,0.0222,0.0,9.0567,0.0222
Pantr2,0.049,1e-04,0.026,0.0001,8.7951,0.0259
Dalir,0.005,0.0,0.0027,0.0,12.278,0.0027
Gm53552,0.0091,0.0003,0.005,0.0002,5.1125,0.0048
Mrps9,0.2234,0.3031,0.1212,0.2268,-0.4399,-0.1056
Gm23126,0.0,0.0,0.0,0.0,0.0,0.0
Gm39633,0.0145,0.0,0.0079,0.0,9.3435,0.0079
Gpr45,0.1791,0.001,0.0968,0.0005,7.5385,0.0963
Tgfbrap1,0.1305,0.2429,0.0718,0.1858,-0.8965,-0.1141
Gm28782,0.0011,0.0003,0.0005,0.0001,2.061,0.0004
8430432A02Rik,0.0095,0.0126,0.0052,0.0096,-0.4038,-0.0044
AI597479,0.0494,0.0884,0.0276,0.0672,-0.8397,-0.0395
Fhl2,0.2151,0.0032,0.1198,0.0019,6.0598,0.1179
Gm29040,0.0,1e-04,0.0,0.0001,-5.9162,-0.0001
LOC115487086,0.0,1e-04,0.0,0.0,-6.3073,-0.0
Nck2,0.1515,0.0742,0.0823,0.0499,1.0305,0.0324
Gm38628,0.0014,0.0,0.0008,0.0,5.0978,0.0007
Gm30634,0.0004,0.0,0.0002,0.0,8.6434,0.0002
Ecrg4,0.0053,0.0005,0.0028,0.0003,3.515,0.0025
Uxs1,0.3101,0.1671,0.1682,0.1396,0.8924,0.0287
Tpp2,0.3042,0.6669,0.1626,0.4406,-1.1325,-0.278
Mettl21c,0.0027,0.0018,0.0014,0.0016,0.5886,-0.0002
Ccdc168,0.0013,0.0228,0.0009,0.0209,-4.1501,-0.02
Tex30,0.0331,0.1184,0.0183,0.0923,-1.8371,-0.074
Poglut2,0.0624,0.1499,0.0336,0.1163,-1.264,-0.0827
Bivm,0.1029,0.0894,0.0554,0.0713,0.2021,-0.016
Ercc5,0.131,0.2485,0.0713,0.1916,-0.9243,-0.1203
Mettl21e,0.0009,1e-04,0.0005,0.0001,3.7047,0.0005
Gm28893,0.0,1e-04,0.0,0.0,-5.801,-0.0
Gm39635,0.0005,0.0007,0.0002,0.0005,-0.3421,-0.0003
Gulp1,0.0601,0.0506,0.0297,0.0348,0.2471,-0.0051
4930521E06Rik,0.0,0.0,0.0,0.0,-4.8109,-0.0
Col3a1,0.001,0.0546,0.0006,0.0326,-5.7262,-0.0319
