gene,group,bin,n,mean,zc
Abcg8,CLP,0,3295,0.3250972032546997,-0.7252295
Abcg8,CLP,1,3295,0.34757643938064575,-0.6332191
Abcg8,CLP,2,3295,0.3423820734024048,-0.56623507
Abcg8,CLP,3,3295,0.34038472175598145,-0.5058848
Abcg8,CLP,4,3295,0.34531348943710327,-0.4482787
Abcg8,CLP,5,3295,0.33733636140823364,-0.38891482
Abcg8,CLP,6,3295,0.3214409649372101,-0.3239999
Abcg8,CLP,7,3295,0.264293372631073,-0.2528145
Abcg8,CLP,8,3295,0.20785383880138397,-0.17021167
Abcg8,CLP,9,3295,0.19999659061431885,-0.053990714
Abcb11,Sham,0,3420,1.5999675989151,-0.7282628
Abcb11,Sham,1,3419,1.1440527439117432,-0.5630905
Abcb11,Sham,2,3420,1.018530249595642,-0.48928714
Abcb11,Sham,3,3419,1.0463136434555054,-0.44062132
Abcb11,Sham,4,3419,1.0242761373519897,-0.39919755
Abcb11,Sham,5,3420,1.0256224870681763,-0.35999492
Abcb11,Sham,6,3419,0.9768293499946594,-0.32021022
Abcb11,Sham,7,3420,0.9881765246391296,-0.27493734000000003
Abcb11,Sham,8,3419,1.0009117126464844,-0.21551788
Abcb11,Sham,9,3420,1.050092101097107,-0.11035838749999999
Abcb11,CLP,0,3295,1.705177664756775,-0.7252295
Abcb11,CLP,1,3295,1.5714932680130005,-0.6332191
Abcb11,CLP,2,3295,1.4665108919143677,-0.56623507
Abcb11,CLP,3,3295,1.3333003520965576,-0.5058848
Abcb11,CLP,4,3295,1.2952677011489868,-0.4482787
Abcb11,CLP,5,3295,1.224838376045227,-0.38891482
Abcb11,CLP,6,3295,1.14017653465271,-0.3239999
Abcb11,CLP,7,3295,0.9192704558372498,-0.2528145
Abcb11,CLP,8,3295,0.7328842878341675,-0.17021167
Abcb11,CLP,9,3295,0.8585728406906128,-0.053990714
Abcb4,Sham,0,3420,1.6355150938034058,-0.7282628
Abcb4,Sham,1,3419,1.0651780366897583,-0.5630905
Abcb4,Sham,2,3420,0.9894511103630066,-0.48928714
Abcb4,Sham,3,3419,0.9862203598022461,-0.44062132
Abcb4,Sham,4,3419,0.9329865574836731,-0.39919755
Abcb4,Sham,5,3420,0.9816352128982544,-0.35999492
Abcb4,Sham,6,3419,0.9699538946151733,-0.32021022
Abcb4,Sham,7,3420,0.9484968781471252,-0.27493734000000003
Abcb4,Sham,8,3419,0.9755174517631531,-0.21551788
Abcb4,Sham,9,3420,1.1822996139526367,-0.11035838749999999
Abcb4,CLP,0,3295,1.2326101064682007,-0.7252295
Abcb4,CLP,1,3295,1.2713549137115479,-0.6332191
Abcb4,CLP,2,3295,1.3133221864700317,-0.56623507
Abcb4,CLP,3,3295,1.3401291370391846,-0.5058848
Abcb4,CLP,4,3295,1.3279861211776733,-0.4482787
Abcb4,CLP,5,3295,1.2590670585632324,-0.38891482
Abcb4,CLP,6,3295,1.2130451202392578,-0.3239999
Abcb4,CLP,7,3295,1.066460371017456,-0.2528145
Abcb4,CLP,8,3295,0.9048537015914917,-0.17021167
Abcb4,CLP,9,3295,1.0056055784225464,-0.053990714
Abcc2,Sham,0,3420,1.936911940574646,-0.7282628
