celltype,n,self_marker,hep_ambient,gap,verdict
Hepatocyte,61402,0.9896,0.9794,0.0102,参照(自身 = ambient 同源)
B,9266,0.0041,0.0726,-0.0685,❌ 身份不可信 —— 多为带 ambient 的肝细胞
Endothelial,5408,0.6323,0.905,-0.2727,✅ 身份可信
HSC,3392,0.4678,0.8716,-0.4038,🟡 身份可疑
Neutrophil,2722,0.0446,0.9003,-0.8557,❌ 身份不可信 —— 多为带 ambient 的肝细胞
T_NK,892,0.0699,0.6446,-0.5747,❌ 身份不可信 —— 多为带 ambient 的肝细胞
Cholangiocyte,879,0.1255,0.851,-0.7254,❌ 身份不可信 —— 多为带 ambient 的肝细胞
Kupffer,656,0.8562,0.9783,-0.1221,✅ 身份可信
