program,sham_mean,clp_mean,pct_change,CLP_1,CLP_2,CLP_3,Sham_1,Sham_2,separation,perm_p,perm_min_p,cell_AUC
FAO,0.18792,0.13116,-30.20649,0.1101,0.0967,0.1867,0.1841,0.1917,有重叠,0.3,0.1,0.317
Peroxisome,0.25136,0.25108,-0.11151,0.2217,0.25,0.2815,0.2299,0.2728,有重叠,1.0,0.1,0.562
Lipogenesis,0.10821,0.16747,54.75575,0.1545,0.2038,0.1441,0.0906,0.1258,完全分离(CLP 全高于 Sham),0.1,0.1,0.725
Cholesterol_synth,0.08521,0.22293,161.62452,0.2236,0.2085,0.2367,0.1542,0.0163,完全分离(CLP 全高于 Sham),0.1,0.1,0.728
Lipoprotein_assembly,0.48659,0.4052,-16.72589,0.3783,0.3418,0.4954,0.4699,0.5033,有重叠,0.3,0.1,0.315
Uptake,0.25879,0.17469,-32.49515,0.1537,0.1625,0.2078,0.2729,0.2447,完全分离(CLP 全低于 Sham),0.1,0.1,0.25
Efflux,0.23536,0.23032,-2.14219,0.2144,0.2136,0.263,0.2386,0.2321,有重叠,1.0,0.1,0.487
Lipid_peroxidation,0.1816,0.13717,-24.46275,0.1432,0.0692,0.1991,0.1632,0.2,有重叠,0.4,0.1,0.364
