sample,group,n_z1,n_z3,FAO,Peroxisome,Lipogenesis,Cholesterol_synth,Lipoprotein_assembly,Uptake,Efflux,Lipid_peroxidation
liver_02,CLP,3700,3914,-0.00896,-0.02187,-0.00655,-0.00776,-0.02437,-0.0081,0.01037,0.0196
liver_06,CLP,4967,3791,-0.01077,-0.02827,-0.01127,0.00077,-0.0222,-0.00608,0.00974,0.00789
liver_10,CLP,1854,5177,-0.01357,-0.03132,-0.03422,-0.066,0.00271,-0.01611,0.01141,0.04087
liver_14,Sham,8350,9556,0.00061,0.00346,0.00122,0.01028,-0.00366,0.00362,0.00408,0.00048
liver_18,Sham,3037,1831,-0.03191,-0.07117,-0.04524,-0.00271,-0.03688,-0.03047,0.01498,0.00828
