zone,group,FAO,Peroxisome,Lipogenesis,Cholesterol_synth,Lipoprotein_assembly,Uptake,Efflux,Lipid_peroxidation
zone1,CLP,0.0894,0.18913,0.13844,0.15647,0.28841,0.09675,0.14573,0.09423
zone1,Sham,0.15469,0.22172,0.10345,0.09893,0.43274,0.19855,0.20757,0.17326
zone2,CLP,0.09481,0.19216,0.13184,0.16341,0.31358,0.09993,0.15983,0.11502
zone2,Sham,0.1585,0.21749,0.10053,0.12345,0.44112,0.20587,0.21847,0.17566
zone3,CLP,0.08892,0.17275,0.11391,0.13862,0.30564,0.09342,0.16795,0.13389
zone3,Sham,0.15185,0.21159,0.09549,0.11877,0.42802,0.20133,0.21831,0.17509
