,sham_mean,clp_mean,pct_change,CLP_1,CLP_2,CLP_3,Sham_1,Sham_2,separation,perm_p,perm_min_p,cell_AUC
FAO,0.15157122910022736,0.0974028930068016,-35.73787480314395,0.08560601621866226,0.07824869453907013,0.12835396826267242,0.15999460220336914,0.14314785599708557,完全分离(CLP 全低于 Sham),0.2,0.1,0.13056108355522156
Peroxisome,0.22344186156988144,0.19663212696711221,-11.998528124679305,0.17090584337711334,0.19022080302238464,0.22876973450183868,0.21937096118927002,0.22751276195049286,有重叠,0.4,0.1,0.21001017093658447
Lipogenesis,0.1029115654528141,0.13324859738349915,29.478739145791007,0.1319456696510315,0.15966393053531647,0.10813619196414948,0.10099022090435028,0.10483291000127792,完全分离(CLP 全高于 Sham),0.2,0.1,0.11613931506872177
Cholesterol_synth,0.07643659505993128,0.1648420443137487,115.65853919121041,0.17294509708881378,0.1542128175497055,0.16736821830272675,0.1339528113603592,0.018920378759503365,完全分离(CLP 全高于 Sham),0.1,0.1,0.13861015439033508
Lipoprotein_assembly,0.47709329426288605,0.33792899052302044,-29.16920137284173,0.3117631673812866,0.26181966066360474,0.4402041435241699,0.5026957392692566,0.4514908492565155,完全分离(CLP 全低于 Sham),0.2,0.1,0.42420676350593567
LDLR_clearance,0.1123262271285057,0.11556372791528702,2.8822305079983503,0.10938544571399689,0.12007787078619003,0.11722786724567413,0.16076306998729706,0.06388938426971436,有重叠,0.8,0.1,0.13325916230678558
Scavenger_SR_B,0.05925104208290577,0.07377932717402776,24.51988113693189,0.07877077162265778,0.07510817795991898,0.06745903193950653,0.05560331419110298,0.06289876997470856,完全分离(CLP 全高于 Sham),0.2,0.1,0.06424888968467712
FA_transport,0.248333178460598,0.09699931492408116,-60.93984882512522,0.08510543406009674,0.07490501552820206,0.1309874951839447,0.2690383493900299,0.22762800753116608,完全分离(CLP 全低于 Sham),0.1,0.1,0.18881060183048248
HDL_efflux,0.08873474597930908,0.2423028846581777,173.06426809930485,0.22054651379585266,0.24537113308906555,0.26099100708961487,0.09632435441017151,0.08114513754844666,完全分离(CLP 全高于 Sham),0.1,0.1,0.1605903059244156
Biliary_excretion,0.3070129007101059,0.2709834724664688,-11.735476965398774,0.2763144075870514,0.31578993797302246,0.22084607183933258,0.26166805624961853,0.35235774517059326,有重叠,0.5,0.1,0.27350959181785583
Bile_acid_synth,0.24819588661193848,0.08062418798605601,-67.51590484168084,0.08203940838575363,0.11480094492435455,0.045032210648059845,0.35630935430526733,0.14008241891860962,完全分离(CLP 全低于 Sham),0.1,0.1,0.21714067459106445
Lipid_peroxidation,0.1756584346294403,0.11912500609954198,-32.183725563283225,0.12541460990905762,0.06664621084928513,0.1653141975402832,0.1741572618484497,0.1771596074104309,完全分离(CLP 全低于 Sham),0.2,0.1,0.14888399839401245
